uuid,design,event,data,timestamp
0e60-42ee-430f-92b5-7cef,Design 1,query regenerated,"{'query': 'PREFIX nmo: <http://nomisma.org/ontology#>\nPREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>\nPREFIX foaf: <http://xmlns.com/foaf/0.1/>\nPREFIX dcterms: <http://purl.org/dc/terms/>\n\nSELECT DISTINCT ?url ?thumbnailObverse ?thumbnailReverse ?descriptionObverse ?descriptionReverse\n  ?date ?maxDiameter ?id ?weight ?type ?mint\nWHERE {\n  {\n    ?url rdf:type nmo:NumismaticObject .\n    ?url dcterms:identifier ?id .\n    OPTIONAL {\n      ?url nmo:hasObverse ?obverse .\n      ?obverse nmo:hasIconography ?obverseIconography .\n    }\n    OPTIONAL {\n      ?url nmo:hasMint ?mint .\n    }\n    ?url nmo:hasReverse ?reverseSide .\n    ?reverseSide nmo:hasIconography ?reverseIconography .\n    ?reverseIconography nmo:hasIconography ?reverseDesignIconography .\n    ?reverseDesignIconography rdf:type rdf:Bag .\n    ?reverseDesignIconography rdf:li ?reverseDescription .\n    ?reverseDescription rdf:subject <https://www.wikidata.org/wiki/Q39503> .\n    ?reverseDescription rdf:predicate <https://www.wikidata.org/wiki/Q108951109> .\n    ?reverseDescription rdf:object <https://www.wikidata.org/wiki/Q46311> .\n    OPTIONAL {\n      ?url nmo:hasObverse ?obverseSide .\n      ?obverseSide dcterms:relation ?obverseRelation .\n      ?obverseRelation foaf:thumbnail ?thumbnailObverse .\n    }\n    OPTIONAL {\n      ?url nmo:hasObverse ?obverseSide .\n      ?obverseSide foaf:thumbnail ?thumbnailObverse .\n    }\n    OPTIONAL {\n      ?url nmo:hasReverse ?reverseSide .\n      ?reverseSide dcterms:relation ?reverseRelation .\n      ?reverseRelation foaf:thumbnail ?thumbnailReverse .\n    }\n    OPTIONAL {\n      ?url nmo:hasReverse ?reverseSide .\n      ?reverseSide foaf:thumbnail ?thumbnailReverse .\n    }\n    OPTIONAL {\n      ?url nmo:hasObverse ?obverseSide .\n      ?obverseSide dcterms:description ?descriptionObverse .\n      FILTER (lang(?descriptionObverse) = ""en"")\n    }\n    OPTIONAL {\n      ?url nmo:hasReverse ?reverseSide .\n      ?reverseSide dcterms:description ?descriptionReverse .\n      FILTER (lang(?descriptionReverse) = ""en"")\n    }\n    OPTIONAL {\n      ?url nmo:hasWeight ?weight .\n    }\n    OPTIONAL {\n      ?url nmo:hasDate ?date .\n      FILTER (lang(?date) = \'en\')\n    }\n    OPTIONAL {\n      ?url nmo:hasMaxDiameter ?maxDiameter .\n    }\n    OPTIONAL {\n      ?url nmo:hasTypeSeriesItem ?type .\n    }\n  }\n}'}",2024-03-29T17:12:58.743Z
0e60-42ee-430f-92b5-7cef,Design 1,search button clicked,,2024-03-29T17:13:01.154Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T17:23:37.234Z
0e60-42ee-430f-92b5-7cef,Design 2,page init loaded,,2024-03-29T17:24:12.265Z
0e60-42ee-430f-92b5-7cef,Design 2,page init loaded,,2024-03-29T17:42:46.357Z
0e60-42ee-430f-92b5-7cef,Design 2,page init loaded,,2024-03-29T17:45:37.747Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T17:46:35.649Z
0e60-42ee-430f-92b5-7cef,Design 2,clicked SPARQL code field,,2024-03-29T17:46:55.756Z
0e60-42ee-430f-92b5-7cef,Design 2,clicked SPARQL code field,,2024-03-29T17:46:58.507Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T17:47:42.527Z
0e60-42ee-430f-92b5-7cef,Design 1,clicked SPARQL code field,,2024-03-29T17:47:44.308Z
0e60-42ee-430f-92b5-7cef,Design 1,clicked SPARQL code field,,2024-03-29T17:47:45.875Z
0e60-42ee-430f-92b5-7cef,Design 1,clicked SPARQL code field,,2024-03-29T17:47:47.525Z
0e60-42ee-430f-92b5-7cef,Design 1,clicked SPARQL code field,,2024-03-29T17:47:48.796Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T17:52:15.346Z
0e60-42ee-430f-92b5-7cef,Design 1,button clicked,{'button': '\n                  Clear All\n                '},2024-03-29T17:52:16.927Z
0e60-42ee-430f-92b5-7cef,Design 1,query regenerated,{'query': 'PREFIX nmo: <http://nomisma.org/ontology#>\nPREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>\nPREFIX foaf: <http://xmlns.com/foaf/0.1/>\nPREFIX dcterms: <http://purl.org/dc/terms/>\n\nSELECT DISTINCT ?url ?thumbnailObverse ?thumbnailReverse ?descriptionObverse ?descriptionReverse\n  ?date ?maxDiameter ?id ?weight ?type ?mint\nWHERE {\n}'},2024-03-29T17:52:16.953Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T17:52:33.826Z
0e60-42ee-430f-92b5-7cef,Design 1,button clicked,{'button': 'Clear All'},2024-03-29T17:52:35.262Z
0e60-42ee-430f-92b5-7cef,Design 1,query regenerated,{'query': 'PREFIX nmo: <http://nomisma.org/ontology#>\nPREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>\nPREFIX foaf: <http://xmlns.com/foaf/0.1/>\nPREFIX dcterms: <http://purl.org/dc/terms/>\n\nSELECT DISTINCT ?url ?thumbnailObverse ?thumbnailReverse ?descriptionObverse ?descriptionReverse\n  ?date ?maxDiameter ?id ?weight ?type ?mint\nWHERE {\n}'},2024-03-29T17:52:35.283Z
0e60-42ee-430f-92b5-7cef,Design 1,button clicked,{'button': 'Advanced Edit'},2024-03-29T17:52:40.410Z
0e60-42ee-430f-92b5-7cef,Design 1,button clicked,{'button': 'Close'},2024-03-29T17:52:44.210Z
0e60-42ee-430f-92b5-7cef,Design 2,recommendations requested,{'query': 'Art'},2024-03-29T18:01:50.191Z
0e60-42ee-430f-92b5-7cef,Design 2,chose recommendation,"{'item_id': 38, 'field': '#subject'}",2024-03-29T18:01:52.989Z
0e60-42ee-430f-92b5-7cef,Design 2,page init loaded,,2024-03-29T18:02:13.186Z
0e60-42ee-430f-92b5-7cef,Design 2,page init loaded,,2024-03-29T18:02:16.914Z
0e60-42ee-430f-92b5-7cef,Design 2,recommendations requested,{'query': 'Art'},2024-03-29T18:02:21.424Z
0e60-42ee-430f-92b5-7cef,Design 2,chose recommendation,"{'link': 'https://www.wikidata.org/wiki/Q39503', 'item_id': 38, 'field': '#subject'}",2024-03-29T18:02:22.624Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T18:06:29.072Z
0e60-42ee-430f-92b5-7cef,Design 1,page reloaded,,2024-03-29T18:06:29.169Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T18:06:35.795Z
0e60-42ee-430f-92b5-7cef,Design 1,page reloaded,,2024-03-29T18:06:35.876Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T18:06:59.904Z
0e60-42ee-430f-92b5-7cef,Design 1,page closed,,2024-03-29T18:07:02.884Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T18:07:02.966Z
0e60-42ee-430f-92b5-7cef,Design 1,page init loaded,,2024-03-29T18:07:14.378Z
0e60-42ee-430f-92b5-7cef,Design 2,page init loaded,,2024-03-29T18:08:23.776Z
0e60-42ee-430f-92b5-7cef,Design 2,page closed,,2024-03-29T18:16:19.573Z
0e60-42ee-430f-92b5-7cef,Design 2,page closed,,2024-03-29T18:16:24.636Z
