mint,mintLabel
http://nomisma.org/id/messene,Messene
http://nomisma.org/id/magydus,Magydus
http://nomisma.org/id/lapethus,Lapethus
http://nomisma.org/id/sagalassus,Sagalassus
http://nomisma.org/id/chalcis,Chalcis
http://nomisma.org/id/tripolis_phoenicia,Tripolis
http://nomisma.org/id/ravenna,Ravenna
http://nomisma.org/id/comitatensian_mint,Comitatensian
http://nomisma.org/id/ravenna_com,Ravenna comitatensian mint
http://nomisma.org/id/barcino,Barcino
http://nomisma.org/id/marathus,Marathus
http://nomisma.org/id/tomis,Tomis
http://nomisma.org/id/arelate_com,Arelate comitatensian mint
http://nomisma.org/id/caesareia_cappadocia,Caesarea in Cappadocia
http://nomisma.org/id/halicarnassus,Halicarnassus
http://nomisma.org/id/ambracia,Ambracia
http://nomisma.org/id/tyras,Tyras
http://nomisma.org/id/tenedos,Tenedos
http://nomisma.org/id/hierapolis_bambyce,Hierapolis Bambyce
http://nomisma.org/id/simyra,Simyra
http://nomisma.org/id/dyrrhachium,Dyrrhachium
http://nomisma.org/id/hermione,Hermione
http://nomisma.org/id/pellene,Pellene
http://nomisma.org/id/pincum,Pincum
http://nomisma.org/id/eastern_mint_ric,Eastern Mint
http://nomisma.org/id/nicaea_gallia,Nicaea (Gallia)
http://nomisma.org/id/uncertain_37_sco,Uncertain Mint 37
http://nomisma.org/id/soli-pompeiopolis,Soli (Pompeiopolis)
http://nomisma.org/id/seleuceia_ad_calycadnum,Seleuceia ad Calycadnum
http://nomisma.org/id/uncertain_58_sco,Uncertain Mint 58
http://nomisma.org/id/uncertain_57_sco,Uncertain Mint 57
http://nomisma.org/id/uncertain_49_sco,Uncertain Mint 49
http://nomisma.org/id/babylon_i_sco,Babylon I
http://nomisma.org/id/sardes_sco,Sardis?
http://nomisma.org/id/uncertain_56_sco,Uncertain Mint 56
http://nomisma.org/id/uncertain_55_sco,Uncertain Mint 55
http://nomisma.org/id/uncertain_54_sco,Uncertain Mint 54
http://nomisma.org/id/uncertain_53_sco,Uncertain Mint 53
http://nomisma.org/id/uncertain_52_sco,Uncertain Mint 52
http://nomisma.org/id/nisibis,Nisibis
http://nomisma.org/id/uncertain_42_sco,Uncertain Mint 42
http://nomisma.org/id/uncertain_51_sco,Uncertain Mint 51
http://nomisma.org/id/uncertain_50_sco,Uncertain Mint 50
http://nomisma.org/id/uncertain_48_sco,Uncertain Mint 48
http://nomisma.org/id/tralles,Tralles
http://nomisma.org/id/EPO_sco,EΠO Mint
http://nomisma.org/id/uncertain_35_sco,Uncertain Mint 35
http://nomisma.org/id/uncertain_47_sco,Uncertain Mint 47
http://nomisma.org/id/aegae_aeolis,"Aegae, Aeolis"
http://nomisma.org/id/elaea,Elaea
http://nomisma.org/id/scepsis,Scepsis
http://nomisma.org/id/ilium,Ilium
http://nomisma.org/id/uncertain_46_sco,Uncertain Mint 46
http://nomisma.org/id/artacoana,Artacoana
http://nomisma.org/id/uncertain_45_sco,Uncertain Mint 45
http://nomisma.org/id/uncertain_44_sco,Uncertain Mint 44
http://nomisma.org/id/uncertain_43_sco,Uncertain Mint 43
http://nomisma.org/id/uncertain_41_sco,Uncertain Mint 41
http://nomisma.org/id/uncertain_40_sco,Uncertain Mint 40
http://nomisma.org/id/uncertain_39_sco,Uncertain Mint 39
http://nomisma.org/id/uncertain_38_sco,Uncertain Mint 38
http://nomisma.org/id/DEL_sco,ΔEΛ Mint
http://nomisma.org/id/uncertain_6A_sco,Uncertain Mint 6A
http://nomisma.org/id/uncertain_36_sco,Uncertain Mint 36
http://nomisma.org/id/magnesia_ad_sipylum,Magnesia ad Sipylum
http://nomisma.org/id/uncertain_34_sco,Uncertain Mint 34
http://nomisma.org/id/holt_mint_b_sco,Second Diodotid Mint
http://nomisma.org/id/holt_mint_a_sco,First Diodotid Mint
http://nomisma.org/id/bactra,Bactra
http://nomisma.org/id/ai_khanoum,Ai Khanoum
http://nomisma.org/id/uncertain_33_sco,Uncertain Mint 33
http://nomisma.org/id/uncertain_32_sco,Uncertain Mint 32
http://nomisma.org/id/uncertain_31_sco,Uncertain Mint 31
http://nomisma.org/id/uncertain_30_sco,Uncertain Mint 30
http://nomisma.org/id/uncertain_29_sco,Uncertain Mint 29
http://nomisma.org/id/uncertain_28_sco,Uncertain Mint 28
http://nomisma.org/id/alinda,Alinda
http://nomisma.org/id/bargylia,Bargylia
http://nomisma.org/id/uncertain_6_sco,Uncertain Mint 6
http://nomisma.org/id/uncertain_5_sco,Uncertain Mint 5
http://nomisma.org/id/uncertain_4_sco,Uncertain Mint 4
http://nomisma.org/id/uncertain_3_sco,Uncertain Mint 3
http://nomisma.org/id/sigeum,Sigeum
http://nomisma.org/id/uncertain_2_sco,Uncertain Mint 2
http://nomisma.org/id/uncertain_26_sco,Uncertain Mint 26
http://nomisma.org/id/uncertain_1_sco,Uncertain Mint 1
http://nomisma.org/id/uncertain_25_sco,Uncertain Mint 25
http://nomisma.org/id/antiocheia_margiana,Antiocheia of Margiana
http://nomisma.org/id/uncertain_22_sco,Uncertain Mint 22
http://nomisma.org/id/uncertain_24_sco,Uncertain Mint 24
http://nomisma.org/id/uncertain_23_sco,Uncertain Mint 23
http://nomisma.org/id/dura-europus,Dura-Europus
http://nomisma.org/id/uncertain_21_sco,Uncertain Mint 21
http://nomisma.org/id/seleuceia_pieria,Seleuceia Pieria
http://nomisma.org/id/babylon_ii_sco,Babylon II
http://nomisma.org/id/apameia_syria,Apameia in Syria
http://nomisma.org/id/uncertain_17_sco,Uncertain Mint 17
http://nomisma.org/id/uncertain_14_sco,Uncertain Mint 14
http://nomisma.org/id/uncertain_11_sco,Uncertain Mint 11
http://nomisma.org/id/uncertain_19_sco,Uncertain Mint 19
http://nomisma.org/id/uncertain_20_sco,Uncertain Mint 20
http://nomisma.org/id/uncertain_18_sco,Uncertain Mint 18
http://nomisma.org/id/nisa,Nisa Mithradatkart
http://nomisma.org/id/uncertain_16_sco,Uncertain Mint 16
http://nomisma.org/id/uncertain_15_sco,Uncertain Mint 15
http://nomisma.org/id/uncertain_13_sco,Uncertain Mint 13
http://nomisma.org/id/uncertain_12_sco,Uncertain Mint 12
http://nomisma.org/id/uncertain_10_sco,Uncertain Mint 10
http://nomisma.org/id/persis,Persis
http://nomisma.org/id/uncertain_9_sco,Uncertain Mint 9
http://nomisma.org/id/seleuceia_ad_tigrim_ii_sco,Seleucia on the Tigris II
http://nomisma.org/id/seleuceia_ad_tigrim_i_sco,Seleucia on the Tigris I
http://nomisma.org/id/uncertain_75_sco,Uncertain Mint 75
http://nomisma.org/id/uncertain_73_sco,Uncertain Mint 73
http://nomisma.org/id/uncertain_72_sco,Uncertain Mint 72
http://nomisma.org/id/uncertain_71_sco,Uncertain Mint 71
http://nomisma.org/id/icarus,Icarus
http://nomisma.org/id/gerrha,Gerrha
http://nomisma.org/id/uncertain_69_sco,Uncertain Mint 69
http://nomisma.org/id/uncertain_68_sco,Uncertain Mint 68
http://nomisma.org/id/uncertain_8_sco,Uncertain Mint 8
http://nomisma.org/id/rose_mint_sco,Rose Mint (Seleucid)
http://nomisma.org/id/uncertain_67_sco,Uncertain Mint 67
http://nomisma.org/id/PA_sco,ΠA Mint
http://nomisma.org/id/DI_sco,ΔI Mint
http://nomisma.org/id/uncertain_66_sco,Uncertain Mint 66
http://nomisma.org/id/uncertain_65_sco,Uncertain Mint 65
http://nomisma.org/id/uncertain_64_sco,Uncertain Mint 64
http://nomisma.org/id/uncertain_63_sco,Uncertain Mint 63
http://nomisma.org/id/uncertain_62_sco,Uncertain Mint 62
http://nomisma.org/id/uncertain_61_sco,Uncertain Mint 61
http://nomisma.org/id/uncertain_60_sco,Uncertain Mint 60
http://nomisma.org/id/uncertain_7_sco,Uncertain Mint 7
http://nomisma.org/id/uncertain_59_sco,Uncertain Mint 59
http://nomisma.org/id/XAR_sco,ΞAP Mint
http://nomisma.org/id/tarsus_i_sco,"Tarsus, Civic Workshop"
http://nomisma.org/id/DI_wreath_sco,Wreath Mint (Seleucid)
http://nomisma.org/id/uncertain_129_sco,Uncertain Mint 129
http://nomisma.org/id/uncertain_128_sco,Uncertain Mint 128
http://nomisma.org/id/uncertain_127_sco,Uncertain Mint 127
http://nomisma.org/id/uncertain_125_sco,Uncertain Mint 125
http://nomisma.org/id/elaeusa,Elaeusa
http://nomisma.org/id/uncertain_124_sco,Uncertain Mint 124
http://nomisma.org/id/ascalon,Ascalon
http://nomisma.org/id/samaria,Samaria
http://nomisma.org/id/uncertain_123_sco,Uncertain Mint 123
http://nomisma.org/id/eros-nike_sco,Eros/Nike Mint
http://nomisma.org/id/uncertain_122_sco,Uncertain Mint 122
http://nomisma.org/id/uncertain_121_sco,Uncertain Mint 121
http://nomisma.org/id/uncertain_120_sco,Uncertain Mint 120
http://nomisma.org/id/uncertain_116_sco,Uncertain Mint 116
http://nomisma.org/id/uncertain_112_sco,Uncertain Mint 112
http://nomisma.org/id/mopsus,Mopsus
http://nomisma.org/id/mallus,Mallus
http://nomisma.org/id/ER_sco,ΕΡ Mint
http://nomisma.org/id/uncertain_119_sco,Uncertain Mint 119
http://nomisma.org/id/uncertain_117_sco,Uncertain Mint 117
http://nomisma.org/id/tarsus_ii_sco,"Tarsus, Royal Workshop"
http://nomisma.org/id/uncertain_115_sco,Uncertain Mint 115
http://nomisma.org/id/uncertain_114_sco,Uncertain Mint 114
http://nomisma.org/id/uncertain_111_sco,Uncertain Mint 111
http://nomisma.org/id/uncertain_113_sco,Uncertain Mint 113
http://nomisma.org/id/marisa,Marisa
http://nomisma.org/id/jerusalem,Jerusalem
http://nomisma.org/id/uncertain_108_sco,Uncertain Mint 108
http://nomisma.org/id/uncertain_107_sco,Uncertain Mint 107
http://nomisma.org/id/uncertain_106_sco,Uncertain Mint 106
http://nomisma.org/id/uncertain_105_sco,Uncertain Mint 105
http://nomisma.org/id/uncertain_104_sco,Uncertain Mint 104
http://nomisma.org/id/uncertain_103_sco,Uncertain Mint 103
http://nomisma.org/id/uncertain_102_sco,Uncertain Mint 102
http://nomisma.org/id/uncertain_101_sco,Uncertain Mint 101
http://nomisma.org/id/uncertain_100_sco,Uncertain Mint 100
http://nomisma.org/id/uncertain_99_sco,Uncertain Mint 99
http://nomisma.org/id/chalcis_ad_belum,Chalcis ad Belum
http://nomisma.org/id/antioch_persian_gulf_sco,Antioch on the Persian Gulf
http://nomisma.org/id/gaza,Gaza
http://nomisma.org/id/uncertain_97_sco,Uncertain Mint 97
http://nomisma.org/id/uncertain_96_sco,Uncertain Mint 96
http://nomisma.org/id/pentalpha_sco,Pentalpha Mint
http://nomisma.org/id/DH_sco,ΔΗ Mint
http://nomisma.org/id/uncertain_95_sco,Uncertain Mint 95
http://nomisma.org/id/uncertain_94_sco,Uncertain Mint 94
http://nomisma.org/id/SZ_sco,ΣZ Mint
http://nomisma.org/id/uncertain_93_sco,Uncertain Mint 93
http://nomisma.org/id/uncertain_92_sco,Uncertain Mint 92
http://nomisma.org/id/orcha,Orcha
http://nomisma.org/id/uncertain_91_sco,Uncertain Mint 91
http://nomisma.org/id/orthosia_phoenicia,Orthosia
http://nomisma.org/id/uncertain_90_sco,Uncertain Mint 90
http://nomisma.org/id/uncertain_89_sco,Uncertain Mint 89
http://nomisma.org/id/uncertain_88_sco,Uncertain Mint 88
http://nomisma.org/id/uncertain_87_sco,Uncertain Mint 87
http://nomisma.org/id/cyrrhus,Cyrrhus
http://nomisma.org/id/uncertain_86_sco,Uncertain Mint 86
http://nomisma.org/id/uncertain_85_sco,Uncertain Mint 85
http://nomisma.org/id/uncertain_81_sco,Uncertain Mint 81
http://nomisma.org/id/antiocheia_persis,Antioch in Persis
http://nomisma.org/id/uncertain_84_sco,Uncertain Mint 84
http://nomisma.org/id/uncertain_83_sco,Uncertain Mint 83
http://nomisma.org/id/uncertain_82_sco,Uncertain Mint 82
http://nomisma.org/id/uncertain_80_sco,Uncertain Mint 80
http://nomisma.org/id/antiochia_ad_callirhoem,Antiocheia ad Callirhoem
http://nomisma.org/id/samaria_samaria,Samaria
http://nomisma.org/id/uncertain_79_sco,Uncertain Mint 79
http://nomisma.org/id/alexandretta,Alexandretta
http://nomisma.org/id/hieropolis_castabala,Hieropolis Castabala
http://nomisma.org/id/aegeae_cilicia,Aegeae
http://nomisma.org/id/antiocheia_ad_sarum,Antiocheia ad Sarum
http://nomisma.org/id/uncertain_78_sco,Uncertain Mint 78
http://nomisma.org/id/ICID_sco,ICIΔ MInt
http://nomisma.org/id/euhesperides,Euhesperides
http://nomisma.org/id/uncertain_10_pco,Uncertain Mint 10
http://nomisma.org/id/uncertain_3_pco,Uncertain Mint 3
http://nomisma.org/id/ephesus_i_pco,Ephesus I
http://nomisma.org/id/uncertain_42_pco,Uncertain Mint 42
http://nomisma.org/id/uncertain_9_pco,Uncertain Mint 9
http://nomisma.org/id/uncertain_36_pco,Uncertain Mint 36
http://nomisma.org/id/joppa,Joppa
http://nomisma.org/id/uncertain_33_pco,Uncertain Mint 33
http://nomisma.org/id/uncertain_1_pco,Uncertain Mint 1
http://nomisma.org/id/uncertain_35_pco,Uncertain Mint 35
http://nomisma.org/id/uncertain_38_pco,Uncertain Mint 38
http://nomisma.org/id/uncertain_2_pco,Uncertain Mint 2
http://nomisma.org/id/uncertain_7_pco,Uncertain Mint 7
http://nomisma.org/id/uncertain_21_pco,Uncertain Mint 21
http://nomisma.org/id/uncertain_22_pco,Uncertain Mint 22
http://nomisma.org/id/uncertain_19_pco,Uncertain Mint 19
http://nomisma.org/id/uncertain_20_pco,Uncertain Mint 20
http://nomisma.org/id/uncertain_16_pco,Uncertain Mint 16
http://nomisma.org/id/uncertain_23_pco,Uncertain Mint 23
http://nomisma.org/id/uncertain_28_pco,Uncertain Mint 28
http://nomisma.org/id/uncertain_29_pco,Uncertain Mint 29
http://nomisma.org/id/aenus,Aenus
http://nomisma.org/id/uncertain_32_pco,Uncertain Mint 32
http://nomisma.org/id/uncertain_4_pco,Uncertain Mint 4
http://nomisma.org/id/uncertain_5_pco,Uncertain Mint 5
http://nomisma.org/id/uncertain_8_pco,Uncertain Mint 8
http://nomisma.org/id/soli_cyprus,Soli
http://nomisma.org/id/uncertain_11_pco,Uncertain Mint 11
http://nomisma.org/id/uncertain_12_pco,Uncertain Mint 12
http://nomisma.org/id/uncertain_13_pco,Uncertain Mint 13
http://nomisma.org/id/uncertain_15_pco,Uncertain Mint 15
http://nomisma.org/id/uncertain_17_pco,Uncertain Mint 17
http://nomisma.org/id/uncertain_18_pco,Uncertain Mint 18
http://nomisma.org/id/uncertain_24_pco,Uncertain Mint 24
http://nomisma.org/id/uncertain_27_pco,Uncertain Mint 27
http://nomisma.org/id/ephesus_ii_pco,Ephesus II
http://nomisma.org/id/uncertain_30_pco,Uncertain Mint 30
http://nomisma.org/id/caunus,Caunus
http://nomisma.org/id/uncertain_31_pco,Uncertain Mint 31
http://nomisma.org/id/uncertain_34_pco,Uncertain Mint 34
